All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
10/03/2018,22 Capital Corp.,Merger/Acquisition,Closed,Trichome Financial Corp. (CNSX:TFC),-,IQTR585129350,"TSXV:LFC.P
Company: 22 Capital Corp.
(IQT427808283) - 5/12/2017",Acquired
07/25/2017,22 Capital Corp.,Merger/Acquisition,Cancelled,nDivision Inc. (OTCPK:NDVN),AJKNJ Capital Corp.,IQTR532054974,"TSXV:LFC.P
Company: 22 Capital Corp.
(IQT427808283) - 5/12/2017",Acquired
07/10/2019,8i Enterprises Acquisition Corp.,Merger/Acquisition,Closed,Diginex Limited (NasdaqCM:EQOS),-,IQTR628920875,"NasdaqCM:EQOS
Company: 8i Enterprises Acquisition Corp.
(IQT593862819) - 5/16/2019",Acquired
11/08/2016,A2 Acquisition Corp.,Merger/Acquisition,Closed,Medicenna Therapeutics Corp. (TSX:MDNA),Silver Lining Homes Ltd.,IQTR419229043,"TSXV:APD.P
Company: A2 Acquisition Corp.
(IQT306486956) - 7/14/2015",Acquired
03/25/2020,AAJ Capital 2 Corp. (TSXV:AAJC.P),Merger/Acquisition,Cancelled,Asia Interactive Services (Hong Kong) Limited,-,IQTR660598645,"TSXV:AAJC.P
Company: AAJ Capital 2 Corp.
(IQT602883694) - 8/26/2019",Operating
10/18/2019,AAJ Capital 2 Corp. (TSXV:AAJC.P),Merger/Acquisition,Cancelled,HB Brand Partners Inc.,-,IQTR641063100,"TSXV:AAJC.P
Company: AAJ Capital 2 Corp.
(IQT602883694) - 8/26/2019",Operating
12/30/2019,Abigail Capital Corporation (TSXV:ACC.P),Merger/Acquisition,Cancelled,Climb Credit Inc.,-,IQTR649555274,"TSXV:ACC.P
Company: Abigail Capital Corporation
(IQT634570129) - 10/22/2019",Operating
10/22/2020,Acamar Partners Acquisition Corp. (NasdaqCM:ACAM),Merger/Acquisition,Announced,"CarLotz, Inc.","Transportation Resource Partners, LP",IQTR692757786,"NasdaqCM:ACAM
Company: Acamar Partners Acquisition Corp.
(IQT604581070) - 5/9/2019",Operating
08/13/2019,ADL Ventures Inc.,Merger/Acquisition,Closed,The Real Brokerage Inc. (TSXV:REAX),-,IQTR633151348,"TSXV:REAX
Company: ADL Ventures Inc.
(IQT571725415) - 7/6/2018",Acquired
05/12/2020,AF1 Capital Corp. (TSXV:AFC.P),Merger/Acquisition,Announced,"PureKana, LLC",-,IQTR667853750,"TSXV:AFC.P
Company: AF1 Capital Corp.
(IQT579856387) - 1/31/2019",Operating
