All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer],M&A Definitive Agreement Date
11/16/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed,-,HYB Holding Corp. (OTCPK:HYBG),-,IQTR695137411,Blank Checks,Acquired,11/12/2020
09/21/2020,Legacy Acquisition Corp.,-,Merger/Acquisition,Closed,-,"PARTS iD, Inc. (AMEX:ID)",-,IQTR689351334,Blank Checks (Primary),Acquired,09/18/2020
09/11/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed, 0.248 ,-,-,IQTR688285506,Blank Checks,Acquired,09/04/2020
09/08/2020,Conyers Park II Acquisition Corp.,-,Merger/Acquisition,Closed,-,Advantage Solutions Inc. (NasdaqGS:ADV),-,IQTR687522390,Blank Checks (Primary),Acquired,09/07/2020
09/03/2020,Kensington Capital Acquisition Corp.,-,Merger/Acquisition,Closed,-,QuantumScape Corporation (NYSE:QS),"Kensington Capital Partners, LLC",IQTR686827494,Blank Checks (Primary),Acquired,09/02/2020
08/25/2020,"Promecap Acquisition Company, S. A. B. de C. V.",-,Merger/Acquisition,Closed,-,"Grupo Acosta Verde, S.A. de C.V. (BMV:GAV A)",-,IQTR685761746,Blank Checks (Primary),Acquired,08/22/2020
08/24/2020,"Gores Metropoulos, Inc.",-,Merger/Acquisition,Closed,-,"Gores Metropoulos, Inc. (NasdaqGS:LAZR)",Gores Metropoulos Sponsor LLC,IQTR685107301,Blank Checks (Primary),Acquired,08/24/2020
08/24/2020,Mira X Acquisition Corp.,-,Merger/Acquisition,Closed,-,GURU Organic Energy Corp. (TSX:GURU ),JJR Capital Holdings Inc,IQTR685201585,Blank Checks (Primary),Acquired,09/28/2020
08/11/2020,Software Acquisition Group Inc.,-,Merger/Acquisition,Closed,-,CuriosityStream Inc. (NasdaqCM:CURI),-,IQTR683250911,Blank Checks (Primary),Acquired,08/10/2020
08/07/2020,"AS Capital, Inc.",-,Merger/Acquisition,Closed,-,"Hanjiao Group, Inc. (OTCPK:HJGP)",-,IQTR682918598,Blank Checks,Acquired,08/06/2020
08/03/2020,FinTech Acquisition Corp. III,-,Merger/Acquisition,Closed,-,Paya Holdings Inc. (NasdaqCM:PAYA),-,IQTR681878279,Blank Checks (Primary),Acquired,08/03/2020
08/03/2020,DiamondPeak Holdings Corp.,-,Merger/Acquisition,Closed,-,Lordstown Motors Corp. (NasdaqGS:RIDE),-,IQTR681898853,Blank Checks (Primary),Acquired,08/01/2020
08/02/2020,CF Finance Acquisition Corp.,-,Merger/Acquisition,Closed,-,GCM Grosvenor Inc. (NasdaqGM:GCMG),"Glazer Capital, LLC; AQR Capital Management, LLC; Adage Capital Management, L.P.; Hudson Bay Capital Management LP; MM Asset Management Inc",IQTR681880146,Blank Checks (Primary),Acquired,08/02/2020
07/30/2020,ARYA Sciences Acquisition Corp II,-,Merger/Acquisition,Closed,-,"Cerevel Therapeutics Holdings, Inc. (NasdaqCM:CERE)","Bain Capital, LP",IQTR681235905,Blank Checks (Primary),Acquired,07/29/2020
07/29/2020,Healthcare Merger Corp.,-,Merger/Acquisition,Closed,-,"SOC Telemed, Inc. (NasdaqCM:TLMD)",-,IQTR681047577,Blank Checks (Primary),Acquired,07/28/2020
07/15/2020,Fortress Value Acquisition Corp.,-,Merger/Acquisition,Closed,-,MP Materials Corp. (NYSE:MP),Fortress Acquisition Sponsor LLC,IQTR677140763,Blank Checks (Primary),Acquired,07/15/2020
07/13/2020,Churchill Capital Corp III,-,Merger/Acquisition,Closed,-,MultiPlan Corporation (NYSE:MPLN),-,IQTR676788302,Blank Checks (Primary),Acquired,07/12/2020
07/13/2020,Spartan Energy Acquisition Corp.,-,Merger/Acquisition,Closed,-,Fisker Inc. (NYSE:FSR),"Apollo Global Management, Inc. (NYSE:APO)",IQTR676821065,Blank Checks (Primary),Acquired,07/10/2020
07/06/2020,Orisun Acquisition Corp.,-,Merger/Acquisition,Closed,-,Ucommune International Ltd (NasdaqCM:UK),"Karpus Management Inc.; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Weiss Asset Management LP; Periscope Capital Inc; Boothbay Fund Management, LLC; Everstone Investments LLC",IQTR675606639,Blank Checks (Primary),Acquired,06/29/2020
07/02/2020,Graf Industrial Corp.,-,Merger/Acquisition,Closed,-,"Velodyne Lidar, Inc. (NasdaqGS:VLDR)",-,IQTR674806243,Blank Checks (Primary),Acquired,07/02/2020
06/29/2020,Netfin Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Triterras, Inc. (NasdaqGM:TRIT)",MVR Netfin LLC; Symphonia Strategic Opportunities Limited,IQTR674260132,Blank Checks (Primary),Acquired,07/29/2020
06/29/2020,Insurance Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Shift Technologies, Inc. (NasdaqCM:SFT)","UBS O'Connor LLC; Davidson Kempner Capital Management LP; Magnetar Capital, LLC; Polar Asset Management Partners Inc.; Linden Advisors LP; MM Asset Management Inc; Periscope Capital Inc; HGC Investment Management Inc.; Insurance Acquisition Sponsor, LLC; Dioptra Advisors, LLC",IQTR674294771,Blank Checks (Primary),Acquired,06/29/2020
06/24/2020,B. Riley Principal Merger Corp. II,-,Merger/Acquisition,Closed,-,"Eos Energy Enterprises, Inc. (NasdaqCM:EOSE)","B. Riley Principal Investments, LLC",IQTR673453957,Blank Checks (Primary),Acquired,09/07/2020
06/19/2020,Tortoise Acquisition Corp.,-,Merger/Acquisition,Closed,-,Hyliion Holdings Corp. (NYSE:HYLN),-,IQTR672895865,Blank Checks (Primary),Acquired,06/18/2020
06/18/2020,TheSpac S.p.A.,-,Merger/Acquisition,Closed,-,Franchi Umberto Marmi S.p.A. (BIT:FUM),-,IQTR672841053,Blank Checks (Primary),Acquired,09/29/2020
06/12/2020,Forum Merger II Corporation,-,Merger/Acquisition,Closed,-,"Tattooed Chef, Inc. (NasdaqCM:TTCF)",-,IQTR672067394,Blank Checks (Primary),Acquired,06/11/2020
06/09/2020,IBKS No.10 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"WSI Co., Ltd. (KOSDAQ:A299170)",-,IQTR671801614,Blank Checks (Primary),Acquired,06/09/2020
06/08/2020,China Foods Holdings Ltd.,-,Merger/Acquisition,Closed,-,China Foods Holdings Ltd. (OTCPK:CFOO),"HY (HK) Financial Investments Co., Ltd",IQTR671632580,Blank Checks (Primary),Acquired,06/08/2020
06/01/2020,Cassowary Capital Corporation Limited,-,Merger/Acquisition,Closed,-,Western Gold Exploration Limited (TSXV:WGLD),Smaller Company Capital Ltd.; Mdcgn Ltd,IQTR670873760,Blank Checks (Primary),Acquired,07/14/2020
05/26/2020,Tilting Capital Corp.,-,Merger/Acquisition,Closed,-,Gold Line Resources Ltd. (TSXV:GLDL),-,IQTR669325597,Blank Checks (Primary),Acquired,08/10/2020
05/12/2020,DC Acquisition Corp.,-,Merger/Acquisition,Closed,-,Kiaro Holdings Corp. (TSXV:KO),-,IQTR667855391,Blank Checks (Primary),Acquired,06/09/2020
05/11/2020,IBKS No.11 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"VIOL Co., Ltd. (KOSDAQ:A335890)","IBK Securities Co., Ltd.; SUSUNG ASSET MANAGEMENT Co., Ltd.; M&M Investment Co., Ltd.; BNB Asset Co., Ltd.",IQTR677452473,Blank Checks (Primary),Acquired,05/11/2020
05/04/2020,Pure Acquisition Corp.,-,Merger/Acquisition,Closed,-,"HighPeak Energy, Inc. (NasdaqGM:HPK)",-,IQTR666551098,Blank Checks (Primary),Acquired,05/04/2020
04/27/2020,PLB Capital Corp. (TSXV:PLB.P),TSXV:PLB.P,Merger/Acquisition,Closed,-,Kainantu Resources Limited,-,IQTR665736717,Blank Checks (Primary),Acquired,06/16/2020
