All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer],M&A Closed Date
11/16/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed,-,HYB Holding Corp. (OTCPK:HYBG),-,IQTR695137411,Blank Checks,Acquired,11/16/2020
09/21/2020,Legacy Acquisition Corp.,-,Merger/Acquisition,Closed,-,"PARTS iD, Inc. (AMEX:ID)",-,IQTR689351334,Blank Checks (Primary),Acquired,11/20/2020
09/11/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed, 0.248 ,-,-,IQTR688285506,Blank Checks,Acquired,09/04/2020
09/08/2020,Conyers Park II Acquisition Corp.,-,Merger/Acquisition,Closed,-,Advantage Solutions Inc. (NasdaqGS:ADV),-,IQTR687522390,Blank Checks (Primary),Acquired,10/28/2020
09/03/2020,Kensington Capital Acquisition Corp.,-,Merger/Acquisition,Closed,-,QuantumScape Corporation (NYSE:QS),"Kensington Capital Partners, LLC",IQTR686827494,Blank Checks (Primary),Acquired,11/25/2020
08/25/2020,"Promecap Acquisition Company, S. A. B. de C. V.",-,Merger/Acquisition,Closed,-,"Grupo Acosta Verde, S.A. de C.V. (BMV:GAV A)",-,IQTR685761746,Blank Checks (Primary),Acquired,10/05/2020
08/24/2020,"Gores Metropoulos, Inc.",-,Merger/Acquisition,Closed,-,"Gores Metropoulos, Inc. (NasdaqGS:LAZR)",Gores Metropoulos Sponsor LLC,IQTR685107301,Blank Checks (Primary),Acquired,12/02/2020
08/24/2020,Mira X Acquisition Corp.,-,Merger/Acquisition,Closed,-,GURU Organic Energy Corp. (TSX:GURU ),JJR Capital Holdings Inc,IQTR685201585,Blank Checks (Primary),Acquired,10/28/2020
08/11/2020,Software Acquisition Group Inc.,-,Merger/Acquisition,Closed,-,CuriosityStream Inc. (NasdaqCM:CURI),-,IQTR683250911,Blank Checks (Primary),Acquired,10/14/2020
08/07/2020,"AS Capital, Inc.",-,Merger/Acquisition,Closed,-,"Hanjiao Group, Inc. (OTCPK:HJGP)",-,IQTR682918598,Blank Checks,Acquired,08/06/2020
08/03/2020,FinTech Acquisition Corp. III,-,Merger/Acquisition,Closed,-,Paya Holdings Inc. (NasdaqCM:PAYA),-,IQTR681878279,Blank Checks (Primary),Acquired,10/16/2020
08/03/2020,DiamondPeak Holdings Corp.,-,Merger/Acquisition,Closed,-,Lordstown Motors Corp. (NasdaqGS:RIDE),-,IQTR681898853,Blank Checks (Primary),Acquired,10/23/2020
08/02/2020,CF Finance Acquisition Corp.,-,Merger/Acquisition,Closed,-,GCM Grosvenor Inc. (NasdaqGM:GCMG),"Glazer Capital, LLC; AQR Capital Management, LLC; Adage Capital Management, L.P.; Hudson Bay Capital Management LP; MM Asset Management Inc",IQTR681880146,Blank Checks (Primary),Acquired,11/17/2020
07/30/2020,ARYA Sciences Acquisition Corp II,-,Merger/Acquisition,Closed,-,"Cerevel Therapeutics Holdings, Inc. (NasdaqCM:CERE)","Bain Capital, LP",IQTR681235905,Blank Checks (Primary),Acquired,10/27/2020
07/29/2020,Healthcare Merger Corp.,-,Merger/Acquisition,Closed,-,"SOC Telemed, Inc. (NasdaqCM:TLMD)",-,IQTR681047577,Blank Checks (Primary),Acquired,10/30/2020
07/15/2020,Fortress Value Acquisition Corp.,-,Merger/Acquisition,Closed,-,MP Materials Corp. (NYSE:MP),Fortress Acquisition Sponsor LLC,IQTR677140763,Blank Checks (Primary),Acquired,11/17/2020
07/13/2020,Churchill Capital Corp III,-,Merger/Acquisition,Closed,-,MultiPlan Corporation (NYSE:MPLN),-,IQTR676788302,Blank Checks (Primary),Acquired,10/08/2020
07/13/2020,Spartan Energy Acquisition Corp.,-,Merger/Acquisition,Closed,-,Fisker Inc. (NYSE:FSR),"Apollo Global Management, Inc. (NYSE:APO)",IQTR676821065,Blank Checks (Primary),Acquired,10/29/2020
07/06/2020,Orisun Acquisition Corp.,-,Merger/Acquisition,Closed,-,Ucommune International Ltd (NasdaqCM:UK),"Karpus Management Inc.; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Weiss Asset Management LP; Periscope Capital Inc; Boothbay Fund Management, LLC; Everstone Investments LLC",IQTR675606639,Blank Checks (Primary),Acquired,11/17/2020
07/02/2020,Graf Industrial Corp.,-,Merger/Acquisition,Closed,-,"Velodyne Lidar, Inc. (NasdaqGS:VLDR)",-,IQTR674806243,Blank Checks (Primary),Acquired,09/29/2020
