All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer]
09/11/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed, 0.248 ,-,-,IQTR688285506,Blank Checks,Acquired
12/06/2018,"One World Pharma, Inc.",-,Merger/Acquisition,Closed, 0.35 ,"One World Pharma, Inc. (OTCPK:OWPC)",-,IQTR594043931,Blank Checks (Primary),Acquired
11/05/2018,Anchor Capital Corporation,-,Merger/Acquisition,Closed, 0.034 ,-,-,IQTR590298598,Blank Checks (Primary),Acquired
07/18/2018,China Foods Holdings Ltd.,-,Merger/Acquisition,Closed, 0.41 ,"HY (HK) Financial Investments Co., Ltd",-,IQTR574500401,Blank Checks (Primary),Acquired
06/26/2018,Academy Explorations Limited,-,Merger/Acquisition,Closed, 0.301 ,-,Estate Of Rae Appleby,IQTR572029256,Blank Checks (Primary),Acquired
04/21/2017,"American Retail Group, Inc.",-,Merger/Acquisition,Closed, 0.3 ,-,-,IQTR428939064,Blank Checks (Primary),Acquired
02/28/2017,Huale Acoustics Limited,-,Merger/Acquisition,Closed, 0.315 ,-,-,IQTR421943180,Blank Checks (Primary),Acquired
06/09/2016,Verdant Financial Partners I Inc.,-,Merger/Acquisition,Closed, 0.02 ,-,Verdant Financial Partners Corporation,IQTR347304036,Blank Checks (Primary),Acquired
01/12/2016,"One World Pharma, Inc.",-,Merger/Acquisition,Closed, 0.255 ,-,-,IQTR321980219,Blank Checks (Primary),Acquired
10/02/2015,Verdant Financial Partners I Inc.,-,Merger/Acquisition,Closed, 0.052 ,-,Verdant Financial Partners Corporation; The Puritt Family Trust; Falcon Corporation,IQTR312824195,Blank Checks (Primary),Acquired
09/22/2015,"Dongxing International, Inc.",-,Merger/Acquisition,Closed, 0.02 ,-,"OZ SafeRooms Technologies, Inc.",IQTR311919392,Blank Checks (Primary),Acquired
07/01/2015,Andes 6 Inc.,-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR305708039,Blank Checks (Primary),Acquired
03/30/2015,Omni Commerce Corp.,-,Merger/Acquisition,Closed, 0.247 ,-,-,IQTR289952005,Blank Checks (Primary),Acquired
03/05/2015,Kiwoom No. 2 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 0.406 ,"Shinhan Investment Corp., Investment Arm","Kiwoom Investment Co., Ltd.",IQTR288393198,Blank Checks (Primary),Acquired
11/19/2014,KB No.4 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 0.18 ,"Shinhan Investment Corp., Investment Arm","KB Investment & Securities Co., Ltd., Investment Arm",IQTR280498725,Blank Checks (Primary),Acquired
07/29/2014,Cantabio Pharmaceuticals Inc.,-,Merger/Acquisition,Closed, 0.075 ,-,-,IQTR269347276,Blank Checks (Primary),Acquired
05/27/2013,Kiwoom No.1 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 4.52 ,"Dasom Development Lease Inc.; Alliance Capital Partners Co., Ltd.; Lee Capital Investment Co., Ltd.; SUSUNG ASSET MANAGEMENT Co., Ltd.; Seohan Investment Co. Ltd.; Iplus Asset","Kiwoom Securities Co., Ltd. (KOSE:A039490); DB Asset Management Co., Ltd.",IQTR241142344,Blank Checks (Primary),Acquired
04/26/2013,"Apex 7, Inc.",-,Merger/Acquisition,Closed, 0.04 ,ScanSys Inc.,-,IQTR237704408,Blank Checks (Primary),Acquired
11/19/2012,Sophia Capital Corp.,-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR228473716,Blank Checks (Primary),Acquired
